Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
18/11/2014 13:49,0,2,00:02,Turbine operational,1,FALSE,FALSE,15.5
18/11/2014 13:51,0,1,00:01,Turbine starting,1,FALSE,FALSE,12.8
18/11/2014 13:52,0,0,00:00,Turbine in operation,1,FALSE,FALSE,17.4
18/11/2014 14:19,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.1
18/11/2014 14:19,0,2,00:02,Turbine operational,1,FALSE,FALSE,4.7
18/11/2014 14:21,0,1,00:01,Turbine starting,1,FALSE,FALSE,10.9
18/11/2014 14:22,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.3
18/11/2014 15:16,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.9
18/11/2014 15:17,0,2,00:02,Turbine operational,1,FALSE,FALSE,9.4
18/11/2014 15:19,0,1,00:01,Turbine starting,1,FALSE,FALSE,12
18/11/2014 15:20,0,0,00:00,Turbine in operation,1,FALSE,FALSE,13.2
18/11/2014 15:27,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,13.2
18/11/2014 15:27,0,2,00:02,Turbine operational,1,FALSE,FALSE,12.7
18/11/2014 15:30,0,1,00:01,Turbine starting,1,FALSE,FALSE,13.5
18/11/2014 15:31,0,0,00:00,Turbine in operation,1,FALSE,FALSE,13.5
18/11/2014 15:47,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,14.9
18/11/2014 15:47,0,2,00:02,Turbine operational,1,FALSE,FALSE,7.1
18/11/2014 15:50,0,1,00:01,Turbine starting,1,FALSE,FALSE,10.6
18/11/2014 15:51,0,0,00:00,Turbine in operation,1,FALSE,FALSE,14.6
18/11/2014 18:08,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.2
18/11/2014 18:09,0,2,00:02,Turbine operational,1,FALSE,FALSE,6.1
18/11/2014 18:11,0,1,00:01,Turbine starting,1,FALSE,FALSE,14.9
18/11/2014 18:12,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.8
18/11/2014 19:51,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.6
18/11/2014 19:52,0,2,00:02,Turbine operational,1,FALSE,FALSE,11.5
18/11/2014 19:54,0,1,00:01,Turbine starting,1,FALSE,FALSE,15.1
18/11/2014 19:55,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.2
18/11/2014 20:06,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,13.7
18/11/2014 20:07,0,2,00:02,Turbine operational,1,FALSE,FALSE,10.5
18/11/2014 20:09,0,1,00:01,Turbine starting,1,FALSE,FALSE,15.2
18/11/2014 20:10,0,0,00:00,Turbine in operation,1,FALSE,FALSE,15
18/11/2014 20:31,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,11.1
18/11/2014 20:31,0,2,00:02,Turbine operational,1,FALSE,FALSE,12.2
18/11/2014 20:34,0,1,00:01,Turbine starting,1,FALSE,FALSE,10.7
18/11/2014 20:35,0,0,00:00,Turbine in operation,1,FALSE,FALSE,14.2
21/11/2014 00:06,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.3
21/11/2014 00:07,0,2,00:02,Turbine operational,1,FALSE,FALSE,15.3
21/11/2014 00:09,0,1,00:01,Turbine starting,1,FALSE,FALSE,11.7
21/11/2014 00:10,0,0,00:00,Turbine in operation,1,FALSE,FALSE,15.8
21/11/2014 00:52,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.5
21/11/2014 00:52,0,2,00:02,Turbine operational,1,FALSE,FALSE,10.1
